Liverpool,1,51,15,2,6,52,22,30
Mancity,2,49,15,3,4,54,25,29
Arsenal,3,49,15,4,4,47,22,25
Astonvilla,4,46,14,5,4,49,30,19
Tottenham,5,44,13,5,5,49,35,14
Manutd,6,38,12,9,2,31,32,-1
Westham,7,36,10,7,6,36,36,0
Brighton,8,35,9,6,8,42,38,4
Newcastle,9,33,10,10,3,48,37,11
Wolverhampton,10,32,9,9,5,37,37,0
Chelsea,11,31,9,10,4,38,39,-1
Bournemouth,12,27,7,9,6,30,41,-11
Fulham,13,26,7,5,11,30,38,-8
Crystalpalace,14,24,6,6,11,26,40,-14
Brentford,15,22,6,4,12,32,39,-7
Nottmforest,16,21,5,6,12,28,41,-13
Lutontown,17,20,5,5,12,32,42,-10
Everton,18,19,8,5,10,26,30,-4
Burnley,19,13,3,4,16,24,47,-23
Sheffield,20,10,2,4,17,19,59,-40
